city,squareMeters,rooms,floor,floorCount,buildYear,latitude,longitude,centreDistance,poiCount,schoolDistance,clinicDistance,postOfficeDistance,kindergartenDistance,restaurantDistance,collegeDistance,pharmacyDistance,ownership,hasParkingSpace,hasBalcony,hasElevator,hasSecurity,hasStorageRoom,price
szczecin,47.0,2.0,6.0,12.0,1981.0,53.4285438,14.5528116,0.79,67.0,0.288,0.285,0.268,0.245,0.068,0.593,0.085,condominium,no,yes,yes,no,yes,449000
szczecin,88.22,3.0,1.0,2.0,2000.0,53.4490931,14.5168436,4.09,0.0,0.509,1.039,0.998,0.676,0.661,1.192,0.668,condominium,yes,yes,no,no,no,950000
szczecin,117.0,5.0,4.0,4.0,,53.4430957490062,14.5613475014441,2.19,10.0,0.216,0.611,0.743,0.28,0.298,1.522,0.229,udział,yes,yes,no,no,no,1099000
szczecin,33.31,1.0,1.0,4.0,1963.0,53.4361,14.5412,1.93,39.0,0.073,0.326,0.284,0.089,0.18,0.041,0.388,cooperative,yes,no,no,yes,yes,380000
szczecin,56.0,3.0,7.0,7.0,2018.0,53.4474649390434,14.5578114013843,2.68,10.0,0.268,0.771,0.676,0.26,0.322,1.643,0.178,condominium,yes,yes,yes,yes,yes,799000
szczecin,68.61,3.0,4.0,4.0,1997.0,53.4562131879767,14.5832223504052,3.94,7.0,0.139,1.336,0.926,0.93,0.071,0.786,0.304,condominium,no,yes,no,no,yes,599000
szczecin,101.25,4.0,,2.0,1930.0,53.3977,14.6729,7.95,14.0,0.201,2.454,0.315,0.25,0.216,,0.316,condominium,yes,yes,no,no,yes,720000
szczecin,29.6,1.0,7.0,11.0,1970.0,53.44545,14.55238,2.52,15.0,0.247,0.493,0.418,0.458,0.141,1.242,0.022,cooperative,no,no,yes,no,yes,319000
szczecin,97.2,4.0,,3.0,1930.0,53.4354,14.5613,1.33,18.0,0.311,0.404,0.434,0.403,0.161,0.673,0.26,condominium,yes,no,no,no,yes,720000
szczecin,26.8,1.0,4.0,5.0,1960.0,53.438362,14.5562786,1.69,25.0,0.218,0.358,0.121,0.102,0.162,1.018,0.02,cooperative,no,no,yes,no,no,322000
szczecin,75.0,4.0,4.0,4.0,1980.0,53.3654,14.6509,8.78,5.0,0.341,0.766,0.318,0.526,0.083,,0.336,cooperative,yes,yes,no,no,yes,650000
szczecin,68.94,3.0,3.0,4.0,1950.0,53.4112998,14.5193061,3.07,5.0,0.28,0.767,0.479,0.468,0.57,1.251,0.236,condominium,no,yes,no,no,yes,540000
szczecin,66.78,4.0,2.0,6.0,2018.0,53.4187193,14.5445331,1.21,9.0,0.233,0.479,0.55,0.592,0.366,0.866,0.335,condominium,yes,yes,yes,no,no,749000
szczecin,89.34,3.0,,4.0,1930.0,53.432222,14.555833,1.04,47.0,0.173,0.332,0.01,0.261,0.062,0.501,0.121,condominium,yes,yes,no,no,yes,600000
szczecin,33.76,1.0,1.0,10.0,2012.0,53.4110643,14.5272356,2.62,14.0,0.162,0.355,0.401,0.097,0.063,1.017,0.326,condominium,no,yes,yes,no,no,399000
szczecin,48.15,2.0,2.0,3.0,1930.0,53.44088317,14.51178074,3.79,6.0,0.46,0.405,0.036,0.51,0.683,1.267,0.112,condominium,no,yes,no,no,yes,565000
szczecin,79.0,3.0,2.0,6.0,2013.0,53.4231,14.5384,1.5,20.0,0.061,0.5,0.092,0.606,0.046,0.579,0.106,condominium,yes,no,yes,no,no,950000
szczecin,61.48,2.0,,3.0,1900.0,53.4915083,14.60698488,8.16,1.0,0.149,1.68,0.534,1.294,1.527,3.72,1.521,condominium,no,no,no,no,yes,359000
szczecin,47.88,2.0,,4.0,1985.0,53.4045357,14.5242062,3.21,15.0,0.256,0.547,0.442,0.098,0.129,1.77,0.086,condominium,no,no,no,no,yes,415000
szczecin,50.0,2.0,3.0,3.0,2010.0,53.4858,14.5775,7.02,4.0,2.153,0.478,0.283,0.422,0.261,2.571,0.538,condominium,yes,no,no,no,no,429000
szczecin,60.38,3.0,3.0,4.0,2003.0,53.4408512,14.528051,2.92,13.0,0.201,0.41,0.936,0.485,0.174,0.242,0.183,condominium,no,yes,yes,no,no,699000
szczecin,71.47,4.0,2.0,3.0,,53.4498,14.4986,5.07,13.0,0.187,0.975,0.092,0.57,0.117,2.287,0.083,condominium,yes,yes,yes,yes,yes,929000
szczecin,37.73,2.0,,2.0,2013.0,53.411613,14.4926316,4.71,4.0,0.562,1.382,0.239,0.585,0.366,2.74,0.793,condominium,no,no,no,no,no,499000
szczecin,39.76,2.0,2.0,3.0,1930.0,53.4279257,14.5404657,1.45,53.0,0.041,0.555,0.232,0.266,0.128,0.259,0.149,condominium,no,no,no,no,yes,329000
szczecin,36.0,2.0,9.0,10.0,1980.0,53.4285438,14.5528116,0.79,67.0,0.288,0.285,0.268,0.245,0.068,0.593,0.085,condominium,no,yes,yes,no,yes,380000
szczecin,42.42,3.0,2.0,10.0,1980.0,53.4465,14.5782,2.81,2.0,0.698,1.26,1.054,0.766,0.203,1.8,0.38,condominium,yes,yes,yes,no,yes,559000
szczecin,30.94,1.0,2.0,10.0,1979.0,53.44129217,14.56834316,2.05,16.0,0.202,1.029,0.508,0.174,0.285,1.4,0.224,cooperative,no,no,yes,no,yes,309000
szczecin,39.0,2.0,6.0,7.0,2020.0,53.4159,14.5329,2.04,8.0,0.547,0.463,0.04,0.197,0.259,0.446,0.678,condominium,yes,yes,yes,yes,yes,550000
szczecin,71.47,4.0,2.0,3.0,,53.4498,14.4986,5.07,13.0,0.187,0.975,0.092,0.57,0.117,2.287,0.083,condominium,yes,yes,yes,yes,yes,929000
szczecin,55.99,2.0,3.0,3.0,,53.433,14.5484,1.35,67.0,0.126,0.217,0.052,0.319,0.115,0.515,0.108,condominium,no,no,no,no,no,450000
szczecin,83.3,4.0,4.0,4.0,2020.0,53.4319,14.4861,5.05,1.0,1.12,0.98,0.668,0.745,1.05,3.035,0.377,condominium,yes,yes,yes,yes,no,1050000
szczecin,47.55,3.0,7.0,10.0,1970.0,53.43524198,14.55714224,1.34,26.0,0.134,0.128,0.255,0.143,0.146,0.72,0.133,cooperative,yes,yes,yes,no,yes,489000
szczecin,63.0,4.0,1.0,4.0,1977.0,53.45616459,14.49379921,5.75,10.0,0.389,1.748,0.164,0.18,0.659,2.893,0.174,condominium,no,yes,no,no,yes,660000
szczecin,76.19,3.0,4.0,4.0,1995.0,53.4222355,14.5417788,1.28,19.0,0.041,0.558,0.223,0.43,0.203,0.725,0.194,cooperative,no,yes,no,no,yes,675000
szczecin,53.58,2.0,4.0,4.0,,53.433,14.5468,1.42,76.0,0.202,0.309,0.129,0.388,0.072,0.456,0.147,condominium,yes,no,no,no,yes,399000
szczecin,45.5,3.0,2.0,4.0,1970.0,53.45580911,14.53805351,3.91,10.0,0.087,0.356,0.21,0.378,0.165,1.577,0.219,cooperative,no,no,no,no,yes,499000
szczecin,132.21,6.0,3.0,4.0,1930.0,53.4273184,14.543117,1.26,61.0,0.216,0.379,0.26,0.401,0.11,0.233,0.071,condominium,no,no,no,no,yes,795000
szczecin,25.08,1.0,5.0,5.0,1930.0,53.432222,14.555833,1.04,47.0,0.173,0.332,0.01,0.261,0.062,0.501,0.121,condominium,no,no,yes,no,no,309000
szczecin,51.77,3.0,7.0,10.0,1967.0,53.432222,14.555833,1.04,47.0,0.173,0.332,0.01,0.261,0.062,0.501,0.121,cooperative,no,no,yes,no,yes,409000
szczecin,53.8,2.0,5.0,5.0,,53.42942948,14.55464244,0.79,60.0,0.147,0.437,0.328,0.198,0.009,0.465,0.073,cooperative,no,no,yes,no,no,380000
szczecin,69.57,3.0,,4.0,1930.0,53.42458495,14.53982705,1.41,31.0,0.09,0.589,0.274,0.501,0.233,0.588,0.275,condominium,no,no,,no,no,520000
szczecin,79.5,3.0,4.0,5.0,2007.0,53.4222,14.5565,0.32,53.0,0.184,0.432,0.138,0.302,0.113,0.865,0.407,condominium,no,yes,yes,no,no,870000
szczecin,50.0,2.0,,1.0,,53.3644,14.6609,9.32,6.0,0.367,1.368,0.377,0.273,0.367,,0.399,condominium,yes,no,no,no,no,320000
szczecin,62.88,3.0,4.0,8.0,1980.0,53.4230495,14.4471272,7.54,0.0,1.046,3.027,1.23,0.961,1.102,,1.436,condominium,no,yes,yes,no,yes,482000
szczecin,69.0,3.0,3.0,3.0,2005.0,53.3658,14.6614,9.24,9.0,0.448,1.33,0.22,0.197,0.232,,0.24,cooperative,yes,yes,no,no,no,639000
szczecin,57.0,3.0,5.0,12.0,,53.4412,14.5672,2.02,16.0,0.159,0.953,0.548,0.131,0.209,1.368,0.2,condominium,yes,yes,yes,no,yes,490000
szczecin,64.2,3.0,3.0,3.0,2000.0,53.3658,14.6614,9.24,9.0,0.448,1.33,0.22,0.197,0.232,,0.24,cooperative,yes,yes,no,no,yes,519000
szczecin,47.0,3.0,10.0,11.0,,53.4336,14.511,3.5,15.0,0.148,1.016,0.293,0.255,0.315,1.392,0.146,cooperative,yes,yes,yes,no,yes,349000
szczecin,63.0,3.0,11.0,11.0,,53.4542,14.4911,5.76,14.0,0.224,1.659,0.376,0.103,0.591,2.941,0.125,cooperative,yes,yes,yes,no,yes,469000
szczecin,77.0,4.0,6.0,11.0,,53.3797,14.6552,7.91,23.0,0.128,0.164,0.272,0.252,0.156,,0.148,condominium,yes,yes,yes,no,yes,450000
szczecin,60.7,3.0,1.0,4.0,2000.0,53.4352,14.5636,1.32,13.0,0.462,0.556,0.434,0.362,0.106,0.663,0.408,cooperative,no,yes,no,no,no,450000
szczecin,70.0,2.0,3.0,4.0,2003.0,53.4307,14.4844,5.14,1.0,1.015,0.926,0.536,0.818,0.994,3.175,0.207,condominium,yes,yes,no,no,no,370000
szczecin,115.0,5.0,3.0,3.0,,53.404167,14.503333,4.38,5.0,0.834,1.803,0.337,1.177,0.067,2.558,0.21,condominium,yes,yes,no,no,no,640000
szczecin,95.78,4.0,,4.0,1945.0,53.432222,14.555833,1.04,47.0,0.173,0.332,0.01,0.261,0.062,0.501,0.121,condominium,no,no,no,no,yes,649000
szczecin,52.93,2.0,3.0,4.0,1950.0,53.4231,14.5421,1.25,20.0,0.087,0.522,0.261,0.37,0.253,0.707,0.238,condominium,no,yes,no,no,yes,585000
szczecin,69.55,4.0,5.0,5.0,1920.0,53.42849628,14.53814176,1.62,54.0,0.109,0.715,0.073,0.22,0.138,0.369,0.155,condominium,no,no,no,no,no,619000
szczecin,48.0,2.0,4.0,4.0,1980.0,53.4032593,14.5198134,3.53,9.0,0.416,0.855,0.449,0.102,0.171,2.002,0.079,cooperative,no,yes,no,no,yes,449000
szczecin,41.0,2.0,4.0,4.0,1930.0,53.432222,14.555833,1.04,47.0,0.173,0.332,0.01,0.261,0.062,0.501,0.121,condominium,no,no,,no,no,330000
szczecin,45.5,3.0,2.0,4.0,1980.0,53.4559,14.5391,3.89,10.0,0.157,0.424,0.279,0.415,0.225,1.609,0.289,cooperative,no,yes,no,no,yes,499000
szczecin,59.3,3.0,,4.0,1978.0,53.4500234,14.559986,2.96,17.0,0.276,0.453,0.382,0.14,0.379,1.865,0.353,cooperative,yes,yes,no,no,yes,539000
szczecin,48.45,2.0,2.0,4.0,,53.4253894,14.55248594,0.6,65.0,0.317,0.273,0.131,0.146,0.03,0.745,0.106,condominium,yes,yes,no,no,no,540000
szczecin,43.68,2.0,3.0,4.0,1950.0,53.42769081,14.53544855,1.76,32.0,0.168,0.653,0.131,0.398,0.057,0.566,0.047,condominium,no,no,no,no,yes,388000
szczecin,65.25,4.0,1.0,12.0,1985.0,53.4544245,14.5627738,3.45,15.0,0.268,0.094,0.063,0.446,0.113,1.386,0.032,condominium,no,no,yes,no,yes,685000
szczecin,57.36,2.0,2.0,4.0,2003.0,53.43157,14.61499,3.69,0.0,2.73,3.98,2.873,3.1,2.798,3.542,2.672,condominium,no,no,yes,no,no,690000
szczecin,124.8,5.0,2.0,4.0,1900.0,53.4308502,14.5446846,1.36,84.0,0.39,0.455,0.158,0.342,0.014,0.179,0.105,condominium,no,no,,no,no,830800
szczecin,95.23,3.0,3.0,4.0,1900.0,53.4308502,14.5446846,1.36,84.0,0.39,0.455,0.158,0.342,0.014,0.179,0.105,condominium,no,no,,no,no,636500
szczecin,105.4,4.0,3.0,4.0,1900.0,53.4308502,14.5446846,1.36,84.0,0.39,0.455,0.158,0.342,0.014,0.179,0.105,condominium,no,no,,no,no,703500
szczecin,89.08,4.0,2.0,2.0,2018.0,53.4772951,14.5412244,6.13,1.0,1.229,2.577,0.939,0.553,0.391,2.952,0.51,condominium,yes,yes,no,no,no,849000
szczecin,57.0,2.0,2.0,4.0,,53.4308373,14.5419351,1.51,75.0,0.261,0.582,0.132,0.166,0.043,0.19,0.075,condominium,no,no,yes,no,no,449000
szczecin,62.37,2.0,2.0,3.0,1930.0,53.4312283,14.56394832,0.89,18.0,0.237,0.727,0.091,0.072,0.236,0.258,0.608,condominium,yes,no,no,no,yes,539000
szczecin,79.5,4.0,1.0,1.0,,53.397,14.6758,8.16,11.0,0.321,2.484,0.282,0.372,0.243,,0.279,condominium,no,no,no,no,no,450000
szczecin,47.2,2.0,,4.0,,53.4535374,14.5532032,3.39,10.0,0.41,0.663,0.355,0.355,0.189,1.941,0.22,cooperative,no,no,no,no,no,399000
szczecin,90.0,3.0,3.0,4.0,1930.0,53.432457,14.53656435,1.91,49.0,0.109,0.422,0.159,0.317,0.133,0.358,0.287,condominium,no,yes,no,no,no,699000
szczecin,53.0,3.0,3.0,4.0,,53.456111,14.493056,5.78,12.0,0.394,1.766,0.21,0.152,0.676,2.931,0.224,cooperative,no,yes,no,no,yes,479000
szczecin,57.0,4.0,2.0,3.0,2000.0,53.453566,14.474175,6.66,4.0,0.487,2.461,0.696,0.848,0.07,3.951,0.069,condominium,no,no,no,no,no,610000
szczecin,125.54,5.0,1.0,4.0,1936.0,53.43226655,14.54053887,1.67,72.0,0.155,0.525,0.316,0.231,0.055,0.301,0.045,condominium,no,no,no,no,yes,999000
szczecin,38.7,2.0,1.0,4.0,1920.0,53.4308373,14.5419351,1.51,75.0,0.261,0.582,0.132,0.166,0.043,0.19,0.075,condominium,no,yes,no,no,no,460000
szczecin,45.34,2.0,2.0,27.0,2022.0,53.4368668,14.5530096,1.59,35.0,0.194,0.237,0.181,0.165,0.099,0.781,0.231,condominium,no,no,yes,no,no,750000
szczecin,57.7,4.0,2.0,3.0,2001.0,53.4529578,14.47325005,6.68,2.0,0.548,2.481,0.672,0.825,0.155,3.989,0.16,condominium,yes,no,no,no,no,610000
szczecin,30.2,1.0,3.0,6.0,2018.0,53.41485673,14.54063414,1.65,5.0,0.385,0.838,0.555,0.154,0.166,0.815,0.198,condominium,no,no,yes,no,no,445000
szczecin,76.6,3.0,1.0,2.0,2017.0,53.49572043,14.59880447,8.42,0.0,0.686,1.563,0.921,0.658,0.908,3.913,0.906,condominium,yes,yes,no,no,no,899000
szczecin,30.2,2.0,1.0,3.0,1971.0,53.447378,14.565296,2.68,6.0,0.265,0.706,0.498,0.209,0.503,1.912,0.537,condominium,no,no,no,no,yes,389000
szczecin,62.2,4.0,,3.0,1939.0,53.4491873,14.5015442,4.87,11.0,0.222,0.827,0.115,0.589,0.298,2.081,0.132,condominium,no,yes,no,no,no,780000
szczecin,57.0,2.0,1.0,4.0,1980.0,53.390834,14.675138,8.39,1.0,0.423,1.914,0.618,0.652,0.57,,0.657,cooperative,no,no,,no,no,419000
szczecin,122.5,5.0,4.0,4.0,1992.0,53.437221,14.566691,1.58,17.0,0.287,0.793,0.408,0.118,0.161,0.937,0.129,cooperative,yes,yes,no,no,no,940000
szczecin,67.0,3.0,8.0,10.0,1987.0,53.455554,14.561176,3.58,15.0,0.428,0.255,0.193,0.389,0.054,1.392,0.192,condominium,no,yes,yes,no,no,619000
szczecin,44.0,3.0,,4.0,1930.0,53.444085,14.502211,4.52,6.0,0.451,0.329,0.251,0.445,0.156,1.902,0.181,condominium,no,no,no,no,yes,449000
szczecin,46.7,2.0,8.0,10.0,1967.0,53.43087678,14.55465317,0.93,63.0,0.041,0.436,0.174,0.131,0.073,0.494,0.05,cooperative,no,yes,yes,no,yes,429000
szczecin,62.2,3.0,10.0,11.0,1977.0,53.432131,14.50304,3.96,7.0,0.201,1.128,0.384,0.508,0.432,1.943,0.436,cooperative,yes,yes,yes,no,yes,599000
szczecin,43.07,2.0,1.0,3.0,1970.0,53.4250411,14.5515636,0.65,52.0,0.252,0.226,0.093,0.105,0.102,0.722,0.053,condominium,no,no,no,no,yes,469000
szczecin,63.0,3.0,3.0,5.0,2024.0,53.4196764,14.5600333,0.42,21.0,0.504,0.688,0.382,0.568,0.386,1.081,0.162,condominium,yes,yes,yes,no,yes,890000
szczecin,47.58,2.0,3.0,3.0,,53.4285438,14.5528116,0.79,67.0,0.288,0.285,0.268,0.245,0.068,0.593,0.085,condominium,no,no,no,no,yes,429000
szczecin,35.4,2.0,2.0,3.0,2023.0,53.404167,14.503333,4.38,5.0,0.834,1.803,0.337,1.177,0.067,2.558,0.21,condominium,no,yes,no,no,no,460000
szczecin,74.86,4.0,3.0,4.0,1900.0,53.4348359,14.5488644,1.5,51.0,0.101,0.107,0.154,0.159,0.048,0.537,0.271,condominium,no,no,no,no,yes,549000
szczecin,61.5,4.0,1.0,12.0,1985.0,53.455075,14.5474,3.64,4.0,0.71,0.951,0.238,0.193,0.532,1.797,0.122,condominium,no,no,yes,no,no,685000
szczecin,38.0,2.0,,10.0,1968.0,53.399444,14.526111,3.53,8.0,0.109,1.004,0.153,0.178,0.166,2.296,0.141,cooperative,no,no,yes,no,no,379000
szczecin,78.6,3.0,2.0,4.0,1929.0,53.4198383,14.5504582,0.8,16.0,0.26,0.183,0.152,0.486,0.215,1.16,0.222,condominium,no,no,no,no,yes,475000
szczecin,89.34,3.0,,3.0,1930.0,53.43264761,14.53673601,1.91,49.0,0.13,0.402,0.154,0.327,0.142,0.335,0.275,condominium,no,yes,no,no,no,599000
szczecin,72.44,3.0,3.0,4.0,1930.0,53.4308373,14.5419351,1.51,75.0,0.261,0.582,0.132,0.166,0.043,0.19,0.075,condominium,no,no,no,no,yes,690000
